2025-08-23 14:40:18,151 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:40:24,918 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:40:24,918 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:40:24,918 - INFO - Server starting on port 8080
2025-08-23 14:40:24,926 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:40:24,926 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:40:56,978 - INFO - Health check request from 10.0.0.61
2025-08-23 14:50:37,625 - INFO - [20250823_145036_101] Streaming chunk 20, content: 'o'...
2025-08-23 14:50:38,116 - INFO - [20250823_145036_101] Streaming chunk 30, content: 'o'...
2025-08-23 14:50:38,382 - INFO - [20250823_145036_101] Streaming chunk 40, content: 'r'...
2025-08-23 14:50:38,637 - INFO - [20250823_145036_101] Streaming chunk 50, content: 's'...
2025-08-23 14:50:39,129 - INFO - [20250823_145036_101] Streaming chunk 60, content: 'e'...
2025-08-23 14:50:40,352 - INFO - [20250823_145036_101] Streaming chunk 70, content: '7'...
2025-08-23 14:50:41,831 - INFO - [20250823_145036_101] Streaming chunk 80, content: ' '...
2025-08-23 14:50:42,085 - INFO - [20250823_145036_101] Streaming chunk 90, content: 'i'...
2025-08-23 14:50:42,581 - INFO - [20250823_145036_101] Streaming chunk 100, content: 'y'...
2025-08-23 14:50:43,323 - INFO - [20250823_145036_101] Streaming chunk 110, content: 'i'...
2025-08-23 14:50:44,322 - INFO - [20250823_145036_101] Streaming chunk 120, content: 'a'...
2025-08-23 14:50:44,818 - INFO - [20250823_145036_101] Streaming chunk 130, content: 'r'...
2025-08-23 14:50:45,071 - INFO - [20250823_145036_101] Streaming chunk 140, content: 's'...
2025-08-23 14:50:45,560 - INFO - [20250823_145036_101] Streaming chunk 150, content: 't'...
2025-08-23 14:50:46,060 - INFO - [20250823_145036_101] Streaming chunk 160, content: 's'...
2025-08-23 14:50:46,302 - INFO - [20250823_145036_101] Streaming chunk 170, content: 'i'...
2025-08-23 14:50:47,298 - INFO - [20250823_145036_101] Streaming chunk 180, content: 'i'...
2025-08-23 14:50:48,289 - INFO - [20250823_145036_101] Streaming chunk 190, content: ' '...
2025-08-23 14:50:48,793 - INFO - [20250823_145036_101] Streaming chunk 200, content: 't'...
2025-08-23 14:50:49,539 - INFO - [20250823_145036_101] Streaming chunk 210, content: 'd'...
2025-08-23 14:50:49,793 - INFO - [20250823_145036_101] Streaming chunk 220, content: 'o'...
